file,has_external_call,updates_state,is_payable,has_reentrancy_guard,has_loop,has_array_ops,has_selfdestruct,has_tx_origin,has_unchecked_call,has_overflow_risk,has_block_dependency,has_delegatecall,has_msg_value,has_fallback,label
33790.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
31454.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40744.sol,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
39290.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
39358.sol,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1
45133.sol,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1
22004.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
31566.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40366.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32700.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
37214.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
32969.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
670.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
40394.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
44432.sol,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1
40357.sol,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
32848.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38972.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
39662.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1
934.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
31404.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
37283.sol,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
37945.sol,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1
34792.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35374.sol,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1
38551.sol,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1
35509.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
35875.sol,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
34418.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35722.sol,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
39269.sol,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1
21087.sol,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
981.sol,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1
37498.sol,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
40461.sol,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
35938.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44864.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
21703.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
34668.sol,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1
39954.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
81.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
32088.sol,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1
39268.sol,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1
38281.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
254.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
38554.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
40341.sol,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1
36729.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
39385.sol,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
44861.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
44652.sol,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
40090.sol,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1
21697.sol,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1
92.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
44775.sol,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1
32486.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44513.sol,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
35403.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36182.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44742.sol,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
35023.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40459.sol,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
990.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
39749.sol,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
35686.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36022.sol,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1
31697.sol,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
31491.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
687.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
273.sol,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
32244.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34204.sol,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1
34876.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
44862.sol,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1
32606.sol,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
34603.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
43502.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38970.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
36563.sol,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
39912.sol,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
32054.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39955.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
35970.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
255.sol,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1
33222.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34438.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33798.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32560.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
691.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
1458.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
